Il,Ilce,Urun Adi,Verim (Kg/Dekar),Ortalama Sicaklik,Maksimal Sicaklik,Minimal Sicaklik,Ortalama Bagil Nem,Yagis Miktari,Yagisli Gun Sayisi,Guneslenme Saati,Atmosfer Basinci,Rakim
AGRI,TUTAK,Bugday (Diger) Sulu,   180,7.53,13.84,0.9,55.83,40.08,6.17,9.35,83.72,1565.0
AMASYA,MERKEZ,Bugday (Durum) Kuru,   230,11.52,16.85,6.73,66.67,45.67,6.0,7.63,96.56,395.0
AMASYA,MERKEZ,Bugday (Durum) Sulu,   400,11.52,16.85,6.73,66.67,45.67,6.0,7.63,96.56,395.0
AMASYA,MERKEZ,Bugday (Diger) Kuru,   240,11.52,16.85,6.73,66.67,45.67,6.0,7.63,96.56,395.0
AMASYA,MERKEZ,Bugday (Diger) Sulu,   400,11.52,16.85,6.73,66.67,45.67,6.0,7.63,96.56,395.0
AMASYA,GOYNUCEK,Bugday (Durum) Kuru,   220,11.47,17.22,6.07,64.0,52.83,6.67,8.1,95.041,525.0
AMASYA,GOYNUCEK,Bugday (Durum) Sulu,   400,11.47,17.22,6.07,64.0,52.83,6.67,8.1,95.041,525.0
AMASYA,GOYNUCEK,Bugday (Diger) Kuru,   220,11.47,17.22,6.07,64.0,52.83,6.67,8.1,95.041,525.0
AMASYA,GOYNUCEK,Bugday (Diger) Sulu,   400,11.47,17.22,6.07,64.0,52.83,6.67,8.1,95.041,525.0
AMASYA,GUMUSHACIKOY,Bugday (Durum) Kuru,   240,9.01,14.49,4.03,69.58,60.67,7.33,7.81,91.828,807.0
AMASYA,GUMUSHACIKOY,Bugday (Durum) Sulu,   425,9.01,14.49,4.03,69.58,60.67,7.33,7.81,91.828,807.0
AMASYA,GUMUSHACIKOY,Bugday (Diger) Kuru,   240,9.01,14.49,4.03,69.58,60.67,7.33,7.81,91.828,807.0
AMASYA,GUMUSHACIKOY,Bugday (Diger) Sulu,   425,9.01,14.49,4.03,69.58,60.67,7.33,7.81,91.828,807.0
AMASYA,HAMAMOZU,Bugday (Durum) Kuru,   200,10.7,16.05,5.74,64.33,46.75,6.17,8.13,92.706,729.0
AMASYA,HAMAMOZU,Bugday (Durum) Sulu,   350,10.7,16.05,5.74,64.33,46.75,6.17,8.13,92.706,729.0
AMASYA,HAMAMOZU,Bugday (Diger) Kuru,   200,10.7,16.05,5.74,64.33,46.75,6.17,8.13,92.706,729.0
AMASYA,HAMAMOZU,Bugday (Diger) Sulu,   350,10.7,16.05,5.74,64.33,46.75,6.17,8.13,92.706,729.0
AMASYA,MERZIFON,Bugday (Durum) Kuru,   240,10.11,15.67,5.19,71.33,52.67,6.58,7.66,92.717,728.0
AMASYA,MERZIFON,Bugday (Durum) Sulu,   400,10.11,15.67,5.19,71.33,52.67,6.58,7.66,92.717,728.0
AMASYA,MERZIFON,Bugday (Diger) Kuru,   240,10.11,15.67,5.19,71.33,52.67,6.58,7.66,92.717,728.0
AMASYA,MERZIFON,Bugday (Diger) Sulu,   400,10.11,15.67,5.19,71.33,52.67,6.58,7.66,92.717,728.0
AMASYA,SULUOVA,Bugday (Durum) Kuru,   240,11.37,16.88,6.52,69.17,45.67,6.0,7.63,95.215,510.0
AMASYA,SULUOVA,Bugday (Durum) Sulu,   400,11.37,16.88,6.52,69.17,45.67,6.0,7.63,95.215,510.0
AMASYA,SULUOVA,Bugday (Diger) Kuru,   240,11.37,16.88,6.52,69.17,45.67,6.0,7.63,95.215,510.0
AMASYA,SULUOVA,Bugday (Diger) Sulu,   400,11.37,16.88,6.52,69.17,45.67,6.0,7.63,95.215,510.0
AMASYA,TASOVA,Bugday (Durum) Kuru,   195,11.5,16.38,6.99,76.75,80.58,9.17,7.22,98.462,235.0
AMASYA,TASOVA,Bugday (Durum) Sulu,   400,11.5,16.38,6.99,76.75,80.58,9.17,7.22,98.462,235.0
AMASYA,TASOVA,Bugday (Diger) Kuru,   200,11.5,16.38,6.99,76.75,80.58,9.17,7.22,98.462,235.0
AMASYA,TASOVA,Bugday (Diger) Sulu,   400,11.5,16.38,6.99,76.75,80.58,9.17,7.22,98.462,235.0
ANKARA,ALTINDAG,Bugday (Durum) Kuru,   210,11.53,17.26,5.78,55.67,45.5,5.92,9.16,89.703,999.0
ANKARA,ALTINDAG,Bugday (Durum) Sulu,   350,11.53,17.26,5.78,55.67,45.5,5.92,9.16,89.703,999.0
ANKARA,ALTINDAG,Bugday (Diger) Kuru,   220,11.53,17.26,5.78,55.67,45.5,5.92,9.16,89.703,999.0
ANKARA,ALTINDAG,Bugday (Diger) Sulu,   350,11.53,17.26,5.78,55.67,45.5,5.92,9.16,89.703,999.0
ANKARA,CANKAYA,Bugday (Durum) Kuru,   180,11.45,17.07,5.9,55.08,37.58,4.92,9.22,90.892,891.0
ANKARA,CANKAYA,Bugday (Durum) Sulu,   320,11.45,17.07,5.9,55.08,37.58,4.92,9.22,90.892,891.0
ANKARA,CANKAYA,Bugday (Diger) Kuru,   200,11.45,17.07,5.9,55.08,37.58,4.92,9.22,90.892,891.0
ANKARA,CANKAYA,Bugday (Diger) Sulu,   320,11.45,17.07,5.9,55.08,37.58,4.92,9.22,90.892,891.0
ANKARA,ETIMESGUT,Bugday (Durum) Kuru,   210,11.89,17.78,5.87,54.75,37.58,4.92,9.22,91.772,812.0
ANKARA,ETIMESGUT,Bugday (Durum) Sulu,   310,11.89,17.78,5.87,54.75,37.58,4.92,9.22,91.772,812.0
ANKARA,ETIMESGUT,Bugday (Diger) Kuru,   210,11.89,17.78,5.87,54.75,37.58,4.92,9.22,91.772,812.0
ANKARA,ETIMESGUT,Bugday (Diger) Sulu,   310,11.89,17.78,5.87,54.75,37.58,4.92,9.22,91.772,812.0
ANKARA,GOLBASI,Bugday (Durum) Kuru,   175,11.27,16.88,5.68,54.25,38.83,5.33,9.32,89.791,991.0
ANKARA,GOLBASI,Bugday (Durum) Sulu,   200,11.27,16.88,5.68,54.25,38.83,5.33,9.32,89.791,991.0
ANKARA,GOLBASI,Bugday (Diger) Kuru,   175,11.27,16.88,5.68,54.25,38.83,5.33,9.32,89.791,991.0
ANKARA,GOLBASI,Bugday (Diger) Sulu,   295,11.27,16.88,5.68,54.25,38.83,5.33,9.32,89.791,991.0
ANKARA,KECIOREN,Bugday (Durum) Kuru,   205,11.53,17.26,5.78,55.67,37.58,4.92,9.22,90.527,924.0
ANKARA,KECIOREN,Bugday (Durum) Sulu,   300,11.53,17.26,5.78,55.67,37.58,4.92,9.22,90.527,924.0
ANKARA,KECIOREN,Bugday (Diger) Kuru,   225,11.53,17.26,5.78,55.67,37.58,4.92,9.22,90.527,924.0
ANKARA,KECIOREN,Bugday (Diger) Sulu,   300,11.53,17.26,5.78,55.67,37.58,4.92,9.22,90.527,924.0
ANKARA,MAMAK,Bugday (Durum) Kuru,   205,11.45,17.07,5.9,55.08,45.5,5.92,9.16,90.054,967.0
ANKARA,MAMAK,Bugday (Durum) Sulu,   385,11.45,17.07,5.9,55.08,45.5,5.92,9.16,90.054,967.0
ANKARA,MAMAK,Bugday (Diger) Kuru,   225,11.45,17.07,5.9,55.08,45.5,5.92,9.16,90.054,967.0
ANKARA,MAMAK,Bugday (Diger) Sulu,   385,11.45,17.07,5.9,55.08,45.5,5.92,9.16,90.054,967.0
ANKARA,SINCAN,Bugday (Durum) Kuru,   248,11.94,17.95,5.75,55.33,37.92,5.17,9.21,91.963,795.0
ANKARA,SINCAN,Bugday (Durum) Sulu,   385,11.94,17.95,5.75,55.33,37.92,5.17,9.21,91.963,795.0
ANKARA,SINCAN,Bugday (Diger) Kuru,   255,11.94,17.95,5.75,55.33,37.92,5.17,9.21,91.963,795.0
ANKARA,SINCAN,Bugday (Diger) Sulu,   385,11.94,17.95,5.75,55.33,37.92,5.17,9.21,91.963,795.0
ANKARA,YENIMAHALLE,Bugday (Durum) Kuru,   205,11.69,17.53,5.75,55.33,37.58,4.92,9.22,91.092,873.0
ANKARA,YENIMAHALLE,Bugday (Durum) Sulu,   346,11.69,17.53,5.75,55.33,37.58,4.92,9.22,91.092,873.0
ANKARA,YENIMAHALLE,Bugday (Diger) Kuru,   225,11.69,17.53,5.75,55.33,37.58,4.92,9.22,91.092,873.0
ANKARA,YENIMAHALLE,Bugday (Diger) Sulu,   346,11.69,17.53,5.75,55.33,37.58,4.92,9.22,91.092,873.0
ANKARA,AKYURT,Bugday (Durum) Kuru,   240,10.04,15.65,4.53,57.17,41.75,5.92,9.03,89.103,1054.0
ANKARA,AKYURT,Bugday (Durum) sulu,   420,10.04,15.65,4.53,57.17,41.75,5.92,9.03,89.103,1054.0
ANKARA,AKYURT,Bugday (Diger) Kuru,   250,10.04,15.65,4.53,57.17,41.75,5.92,9.03,89.103,1054.0
ANKARA,AKYURT,Bugday (Diger) Sulu,   420,10.04,15.65,4.53,57.17,41.75,5.92,9.03,89.103,1054.0
ANKARA,AYAS,Bugday (Durum) Kuru,   200,11.41,17.59,5.02,54.92,35.5,5.0,9.3,90.726,906.0
ANKARA,AYAS,Bugday (Durum) Sulu,   440,11.41,17.59,5.02,54.92,35.5,5.0,9.3,90.726,906.0
ANKARA,AYAS,Bugday (Diger) Kuru,   200,11.41,17.59,5.02,54.92,35.5,5.0,9.3,90.726,906.0
ANKARA,AYAS,Bugday (Diger) Sulu,   440,11.41,17.59,5.02,54.92,35.5,5.0,9.3,90.726,906.0
ANKARA,BALA,Bugday (Durum) Kuru,   250,11.41,17.03,5.73,53.0,40.58,5.58,9.48,86.365,1310.0
ANKARA,BALA,Bugday (Durum) Sulu,   400,11.41,17.03,5.73,53.0,40.58,5.58,9.48,86.365,1310.0
ANKARA,BALA,Bugday (Diger) Kuru,   265,11.41,17.03,5.73,53.0,40.58,5.58,9.48,86.365,1310.0
ANKARA,BALA,Bugday (Diger) Sulu,   400,11.41,17.03,5.73,53.0,40.58,5.58,9.48,86.365,1310.0
ANKARA,BEYPAZARI,Bugday (Durum) Kuru,   275,11.16,16.95,5.28,57.75,42.08,5.75,8.9,93.489,660.0
ANKARA,BEYPAZARI,Bugday (Durum) Sulu,   465,11.16,16.95,5.28,57.75,42.08,5.75,8.9,93.489,660.0
ANKARA,BEYPAZARI,Bugday (Diger) Kuru,   290,11.16,16.95,5.28,57.75,42.08,5.75,8.9,93.489,660.0
ANKARA,BEYPAZARI,Bugday (Diger) Sulu,   465,11.16,16.95,5.28,57.75,42.08,5.75,8.9,93.489,660.0
ANKARA,CAMLIDERE,Bugday (Durum) Kuru,   170,8.89,14.19,3.97,65.92,53.08,7.25,8.03,86.407,1306.0
ANKARA,CAMLIDERE,Bugday (Durum) Sulu,   300,8.89,14.19,3.97,65.92,53.08,7.25,8.03,86.407,1306.0
